gov_name,state,pop_tot,rev_fines,rev_prop_tax,rev_tot,rev_gen_ownsource
LAKE COMO BOROUGH,NJ,1463,398490,2923740.0000000005,4935060,4097010
BEACH HAVEN BOROUGH,NJ,1022,230880.00000000003,7369290.000000001,11694960.000000002,10278600
POINT PLEASANT BEACH BOROUGH,NJ,4594,1390830.0000000002,8036400.000000001,18021960.000000004,14890650.000000002
SEASIDE HEIGHTS BOROUGH,NJ,2881,1933620.0000000002,5183700.000000001,22580730.000000004,13518690
SEASIDE PARK BOROUGH,NJ,1635,651570,6224880,14189130.000000002,12029070.000000002
SHIP BOTTOM BOROUGH,NJ,880,133200.00000000003,4616490.000000001,8166270,6928620.000000001
LINDEN CITY,NJ,41595,4565430,59531520.00000001,103775010.00000001,69481560.00000001
GLOBE CITY,AZ,7369,737040.0000000001,584970,18047490,12577410.000000002
GREAT NECK ESTATES VILLAGE,NY,2820,426240,7535790.000000001,9345090,9073140.000000002
LYNBROOK VILLAGE,NY,19584,2131200.0000000005,29208540,35960670.00000001,34555410
EAST HAMPTON VILLAGE,NY,1220,680430.0000000001,12486390.000000002,20806950,17554650
QUOGUE VILLAGE,NY,820,88800.00000000001,6813180,8322780.000000001,8056380.000000001
SAG HARBOR VILLAGE,NY,2132,317460.00000000006,5947380,9856800.000000002,8514810.000000002
SOUTHAMPTON VILLAGE,NY,3211,519480,19872330,26258160.000000004,24588720
BRONXVILLE VILLAGE,NY,6395,1014540.0000000001,8909970.000000002,14987220.000000002,13849470.000000002
WHITE PLAINS CITY,NY,57925,9124200,54882840.00000001,195276750.00000003,170376120.00000003
BEDFORD CITY,OH,12782,1913640,6330330.000000001,35881860,27836580
BEREA CITY,OH,18949,2166720.0000000005,4358970,33904950.00000001,27157260.000000004
BRATENAHL VILLAGE,OH,1203,545010.0000000001,1582860.0000000002,4388940.000000001,4211340
LYNDHURST CITY,OH,13736,1810410,4812960,21475170.000000004,16001760.000000002
SHAKER HEIGHTS CITY,OH,27773,3210120.0000000005,8479290,58261680.00000001,48859980
VALLEY VIEW VILLAGE,OH,623,59940.00000000001,132090,327450.00000000006,197580
CHARDON CITY,OH,5194,1494060.0000000002,1243200,14319000.000000002,11317560.000000002
LOCKLAND VILLAGE,OH,3435,753690,444000.00000000006,4736370.000000001,3785100.0000000005
OAK HILL VILLAGE,OH,1890,168720.00000000003,179820.00000000003,1085580.0000000002,359640.00000000006
KIRTLAND HILLS VILLAGE,OH,717,107670.00000000001,853590,2590740.0000000005,1935840.0000000002
WILLOUGHBY CITY,OH,22495,2696190,4549890,41906940,36027270.00000001
OBERLIN CITY,OH,8353,1082250,1189920,30278580,14144730.000000002
VANDALIA CITY,OH,15127,1688310.0000000002,2284380,33292230.000000004,26648880
TIFFIN CITY,OH,17701,1878120.0000000002,1794870.0000000002,21508470,17724480.000000004
EAST CANTON VILLAGE,OH,1506,97680,55500.00000000001,964590,479520.00000000006
BOSTON HEIGHTS VILLAGE,OH,1208,301920,518370,1979130,1926960.0000000002
PENINSULA VILLAGE,OH,615,67710.00000000001,120990.00000000001,1325340.0000000002,1062270
STOW CITY,OH,34746,3658560.0000000005,8257290.000000001,45316860,31603920.000000004
CARLISLE VILLAGE,OH,5125,535020.0000000001,220890.00000000003,4403370.000000001,3837270.0000000005
BRYAN CITY,OH,8480,852480,477300.00000000006,44280120,16446870.000000002
CADDO TOWN,OK,1120,213120,0,1185480,831390.0000000001
CALERA TOWN,OK,2627,519480,0,2466420,1969140
COLBERT TOWN,OK,1329,156510.00000000003,0,1899210.0000000002,1042290.0000000002
MOUNDS TOWN,OK,1181,96570.00000000001,0,407370.00000000006,370740
WEST SILOAM SPRINGS TOWN,OK,985,737040.0000000001,0,2384280,1881450.0000000002
SEILING CITY,OK,863,241980.00000000003,0,2190030,1381950
NORTH ENID TOWN,OK,1091,231990,0,629370,603840
WAUKOMIS TOWN,OK,1368,178710,53280,798090,601620
MINCO CITY,OK,1450,160950.00000000003,0,1468530.0000000002,1052280.0000000002
RUSH SPRINGS TOWN,OK,1265,119880.00000000001,0,1003440,361860
NINNEKAH TOWN,OK,1113,98790,0,375180,355200.00000000006
HOWE TOWN,OK,983,63270,0,190920.00000000003,173160.00000000003
MEEKER TOWN,OK,1231,123210.00000000001,0,1252080.0000000002,845820
DIBBLE TOWN,OK,977,24420,0,73260,66600.00000000001
CHOUTEAU TOWN,OK,2128,263070.00000000006,0,2832720.0000000005,1728270.0000000002
SALINA TOWN,OK,1305,134310,0,1794870.0000000002,1097790.0000000002
SULPHUR CITY,OK,5042,508380.00000000006,0,2801640.0000000005,2697300
WELEETKA CITY,OK,825,127650,0,874680.0000000001,561660.0000000001
LUTHER TOWN,OK,1237,400710.00000000006,0,1125540.0000000002,912420.0000000001
VALLEY BROOK TOWN,OK,804,1042290.0000000002,0,1376400,1359750.0000000002
FOREST PARK TOWN,OK,1079,216450.00000000003,0,725940,693750.0000000001
VIAN CITY,OK,1336,195360,0,1730490.0000000002,1044510
TEXHOMA TOWN,OK,799,98790,0,1479630,673770.0000000001
PORT ORFORD CITY,OR,1243,156510.00000000003,412920,1847040.0000000002,1278720
COBURG CITY,OR,1194,170940.00000000003,1101120.0000000002,3880560.0000000005,1813740.0000000002
AURORA CITY,OR,1289,159840,566100,1579530.0000000002,1233210
NORTH PLAINS CITY,OR,2072,280830.00000000006,355200.00000000006,2570760,1162170
NEW HOPE BOROUGH,PA,2385,351870,717060.0000000001,3988230.0000000005,3149070
WEST CHESTER BOROUGH,PA,19434,2586300,5134860.000000001,29166360.000000004,26163810
NEW ELLENTON TOWN,SC,2350,164280,386280.00000000006,720390.0000000001,680430.0000000001
FOLLY BEACH CITY,SC,2732,818070,2342100.0000000005,7866570.000000001,6570090
FORT LAWN TOWN,SC,951,173160.00000000003,72150,497280.00000000006,497280.00000000006
CHESTERFIELD TOWN,SC,1426,153180,552780.0000000001,3681870.0000000005,2015760.0000000002
MCBEE TOWN,SC,811,104340,34410.00000000001,904650.0000000001,293040
SUMMERTON TOWN,SC,1013,113220.00000000001,112110.00000000001,2457540.0000000005,832500.0000000001
TURBEVILLE TOWN,SC,1013,216450.00000000003,61050.00000000001,1757130,1112220
COTTAGEVILLE TOWN,SC,851,367410,0,681540.0000000001,462870.00000000006
SOCIETY HILL TOWN,SC,586,147630.00000000003,11100.000000000002,1018980.0000000001,327450.00000000006
SCRANTON TOWN,SC,755,21090.000000000004,0,143190.00000000003,21090.000000000004
COWARD TOWN,SC,731,33300.00000000001,0,180930,35520
SURFSIDE BEACH TOWN,SC,4195,432900.00000000006,3032520.0000000005,10491720.000000002,8824500
RIDGELAND TOWN,SC,4116,523920.00000000006,387390.00000000006,6769890,3870570
ELGIN TOWN,SC,1525,83250.00000000001,0,728160.0000000001,350760.00000000006
PELION TOWN,SC,707,73260,39960,387390.00000000006,361860
SWANSEA TOWN,SC,893,236430,215340.00000000003,1797090.0000000002,826950
SOUTH CONGAREE TOWN,SC,2272,570540.0000000001,0,1141080.0000000002,973470.0000000001
WHITMIRE TOWN,SC,1444,98790,149850.00000000003,1259850.0000000002,414030.00000000006
HOLLY HILL CITY,SC,1725,219780.00000000003,294150.00000000006,1616160,1205460
SANTEE TOWN,SC,1184,362970,563880,3745140.0000000005,2904870.0000000005
CAMPOBELLO TOWN,SC,562,96570.00000000001,194250.00000000003,348540,323010.00000000006
CHESNEE CITY,SC,782,177600.00000000003,369630.00000000006,1284270.0000000002,926850.0000000001
WELLFORD CITY,SC,2494,624930.0000000001,247530.00000000003,1308690,1265400
LANE TOWN,SC,550,52170,169830,1052280.0000000002,231990
LAKE VILLAGE CITY,AR,2674,657120,174270,4424460,3028080.0000000005
CADDO VALLEY TOWN,AR,683,166500.00000000003,76590,1276500,926850.0000000001
QUITMAN CITY,AR,823,116550.00000000001,44400.00000000001,1871460.0000000002,911310.0000000001
PLUMERVILLE CITY,AR,1031,89910.00000000001,59940.00000000001,702630.0000000001,387390.00000000006
BONO CITY,AR,2453,139860,64380.00000000001,1367520.0000000002,583860
PARKIN CITY,AR,962,155400,16650.000000000004,1196580.0000000002,525030.0000000001
MCGEHEE CITY,AR,3991,724830,167610,6557880.000000001,5090460
MAYFLOWER CITY,AR,1885,190920.00000000003,145410.00000000003,4354530.000000001,2238870.0000000005
VILONIA CITY,AR,4298,459540,129870,3591960.0000000005,2494170
GUY CITY,AR,653,158730.00000000003,32190.000000000004,385170,313020.00000000006
SWIFTON CITY,AR,670,72150,37740,478410,255300
DIAZ CITY,AR,1407,65490.00000000001,34410.00000000001,642690,304140.00000000006
LAMAR CITY,AR,1646,167610,112110.00000000001,3999330.0000000005,882450
BEARDEN CITY,AR,953,378510.00000000006,89910.00000000001,1184370.0000000002,891330
HAZEN CITY,AR,1460,156510.00000000003,99900,3063600.0000000005,1361970
MADISON CITY,AR,866,71040,18870,551670.0000000001,208680
GREENLAND CITY,AR,1516,112110.00000000001,58830.00000000001,745920.0000000001,396270.00000000006
WEST FORK CITY,AR,2491,310800,124320.00000000001,2554110,1667220.0000000002
JOHNSON CITY,AR,3573,340770.00000000006,462870.00000000006,2505270.0000000005,1648350.0000000002
BRADFORD CITY,AR,787,46620.00000000001,0,342990,168720.00000000003
PANGBURN CITY,AR,577,53280,14430.000000000002,649350,247530.00000000003
CHARLESTON CITY,TN,888,44400.00000000001,56610.00000000001,378510.00000000006,199800
JACKSBORO TOWN,TN,2025,65490.00000000001,0,1684980.0000000002,287490
ASHLAND CITY TOWN,TN,4648,489510.00000000006,718170.0000000001,7602390,3586410.0000000005
NEW TAZEWELL TOWN,TN,2789,127650,0,3498720.0000000005,616050.0000000001
TAZEWELL TOWN,TN,2069,159840,0,1400820.0000000002,475080.00000000006
FRIENDSHIP CITY,TN,591,93240.00000000001,89910.00000000001,596070,339660
BELLE MEADE CITY,TN,2704,63270,0,743700,205350.00000000003
MOSCOW CITY,TN,615,105450,150960,915750.0000000001,488400.00000000006
ROSSVILLE TOWN,TN,701,103230,485070.00000000006,1593960,878010.0000000001
GALLAWAY CITY,TN,948,199800,264180,1253190,678210
BRADFORD TOWN,TN,1329,143190.00000000003,202020,1060050.0000000002,702630.0000000001
MEDINA CITY,TN,4025,723720,969030.0000000001,2928180.0000000005,2207790.0000000005
BOLIVAR CITY,TN,5154,518370,1697190,12178920.000000002,4348980.000000001
CRUMP TOWN,TN,1116,44400.00000000001,0,540570,213120
ST JOSEPH CITY,TN,867,66600.00000000001,73260,1297590.0000000002,284160
ETHRIDGE TOWN,TN,594,53280,0,380730,154290.00000000003
PETERSBURG TOWN,TN,698,69930,36630,396270.00000000006,154290.00000000003
ENGLEWOOD TOWN,TN,1785,203130.00000000003,198690.00000000003,1769340.0000000002,785880.0000000001
CALHOUN TOWN,TN,618,134310,43290.00000000001,333000.00000000006,198690.00000000003
SELMER TOWN,TN,4482,492840.00000000006,855810.0000000001,9851250,2901540.0000000005
CORNERSVILLE TOWN,TN,1334,244200.00000000003,169830,833610.0000000001,600510.0000000001
BENTON TOWN,TN,1821,324120,172050,1990230.0000000002,721500.0000000001
RIDGETOP TOWN,TN,2182,290820.00000000006,278610,1853700.0000000002,1055610.0000000002
COOPERTOWN TOWN,TN,4357,85470.00000000001,0,1048950,280830.00000000006
BLUFF CITY CITY,TN,1682,778110,337440.00000000006,2333220.0000000005,1552890
PLAINVIEW CITY,TN,1990,6660,0,325230,25530
HUNTINGTON CITY,TX,2181,249750.00000000003,439560.00000000006,3382170,1903650
DIBOLL CITY,TX,5360,636030.0000000001,1085580.0000000002,8358300.000000001,6796530.000000001
LYTLE CITY,TX,2810,362970,378510.00000000006,3255630,2239980
TROY CITY,TX,1524,284160,361860,2372070,1480740.0000000002
BALCONES HEIGHTS CITY,TX,3017,1640580.0000000002,1282050.0000000002,7448100,7408140
SELMA CITY,TX,8866,1195470,1894770.0000000002,13938270,12713940
SOMERSET CITY,TX,1562,199800,290820.00000000006,1004550.0000000001,999000.0000000001
BLANCO CITY,TX,2480,335220,519480,2665110,1698300.0000000002
SURFSIDE BEACH VILLAGE,TX,531,78810,698190,1721610.0000000002,1116660
JONES CREEK VILLAGE,TX,2195,314130.00000000006,198690.00000000003,685980,685980
MARTINDALE TOWN,TX,1379,199800,195360,911310.0000000001,771450
POINT COMFORT CITY,TX,762,94350.00000000001,435120.00000000006,1237650,922410.0000000001
CLYDE TOWN,TX,3752,750360,774780.0000000001,4815180,3715170.0000000005
LINDEN TOWN,TX,2343,254190.00000000003,382950.00000000006,1885890,1403040.0000000002
BULVERDE CITY,TX,4859,528360,774780.0000000001,2954820,2938170
VALLEY VIEW CITY,TX,947,136530,82140,632700,519480
FARMERS BRANCH CITY,TX,32211,3457650,23883870.000000004,73181190,60538290.00000001
HUTCHINS CITY,TX,5644,607170.0000000001,1294260.0000000002,7357080.000000001,5836380
NORTHLAKE TOWN,TX,2894,777000.0000000001,880230.0000000001,3256740.0000000005,2520810.0000000005
HICKORY CREEK TOWN,TX,3939,1047840.0000000001,1467420,4586520,4524360.000000001
CISCO CITY,TX,3814,439560.00000000006,1456320.0000000002,6761010,3483180.0000000005
FERRIS TOWN,TX,2527,562770.0000000001,796980,4751910.000000001,3840600.0000000005
ITALY TOWN,TX,1699,510600,620490,2654010,2299920
MILFORD TOWN,TX,776,674880.0000000001,69930,1318680,960150.0000000001
PALMER TOWN,TX,2268,969030.0000000001,435120.00000000006,3070260,2143410.0000000005
TRENTON CITY,TX,768,94350.00000000001,170940.00000000003,970140.0000000001,658230
NEEDVILLE TOWN,TX,3040,364080.00000000006,929070,4632030.000000001,3276720.0000000005
ARCOLA CITY,TX,2509,411810.00000000006,480630.00000000006,1760460.0000000002,1731600.0000000002
KEMAH CITY,TX,2098,457320.00000000006,572760.0000000001,6457980.000000001,5402370.000000001
WAELDER CITY,TX,1366,269730,277500,2164500,1132200
VAN ALSTYNE TOWN,TX,3265,861360.0000000001,1212120.0000000002,6124980.000000001,4992780.000000001
MEMPHIS CITY,TX,2318,323010.00000000006,300810,2187810.0000000005,1774890
KOUNTZE CITY,TX,2112,299700.00000000006,233100.00000000003,2145630,1475190
HEDWIG VILLAGE,TX,2655,496170,1580640,5316900.000000001,4451100
HUMBLE CITY,TX,15569,3455430.0000000005,2700630,37522440,27016290
JERSEY VILLAGE CITY,TX,7871,2396490.0000000005,6780990.000000001,21734910.000000004,17199450
SPRING VALLEY VILLAGE,TX,4098,596070,3053610,8766780,7286040.000000001
TOMBALL CITY,TX,11353,1202130,3182370.0000000005,32126730.000000004,22081230.000000004
WEBSTER CITY,TX,11041,1320900,3756240.0000000005,28412670.000000004,25682070.000000004
SEVEN POINTS CITY,TX,1391,392940.00000000006,0,1393050.0000000002,1085580.0000000002
HIDALGO CITY,TX,13449,1830390,1430790.0000000002,22017960.000000004,18218430
HILLSBORO CITY,TX,8358,1740480.0000000002,3312240.0000000005,16837590,13048050.000000002
HUBBARD CITY,TX,1627,294150.00000000006,455100,2334330.0000000005,1487400
ITASCA CITY,TX,1438,166500.00000000003,303030.00000000006,4214670,1491840.0000000002
TOLAR CITY,TX,916,203130.00000000003,142080,864690,600510.0000000001
CUMBY CITY,TX,766,539460,74370,1194360.0000000002,1002330
ALVARADO CITY,TX,3863,629370,1438560.0000000002,9615930,6654450.000000001
GODLEY CITY,TX,1248,140970,285270.00000000006,1830390,1618380
THREE RIVERS CITY,TX,1867,246420.00000000003,902430.0000000001,4806300,3073590
LORENA CITY,TX,1768,190920.00000000003,498390.00000000006,3024750.0000000005,1894770.0000000002
BRUCEVILLE EDDY CITY,TX,1654,331890.00000000006,268620,1945830.0000000002,674880.0000000001
ROCKDALE CITY,TX,5492,623820,1405260.0000000002,7195020,5056050
OAK RIDGE NORTH CITY,TX,3142,487290,1329780.0000000002,7173930,4985010
PATTON VILLAGE CITY,TX,1963,677100,86580.00000000001,947940,812520.0000000001
SPLENDORA CITY,TX,1417,165390.00000000003,92130.00000000001,2237760,650460
MAGNOLIA CITY,TX,1857,1066710,562770.0000000001,6015090,4888440.000000001
STAGECOACH TOWN,TX,505,54390.00000000001,162060,300810,288600
CACTUS CITY,TX,3178,268620,148740,3629700.0000000005,1053390
CORRIGAN CITY,TX,1762,899100,313020.00000000006,2546340,2243310.0000000005
ONALASKA CITY,TX,2486,287490,0,1639470.0000000002,1078920
TIMPSON CITY,TX,1645,236430,97680,2866020.0000000005,888000.0000000001
STRATFORD CITY,TX,2111,355200.00000000006,0,2023530.0000000002,1332000.0000000002
BULLARD CITY,TX,2798,338550,888000.0000000001,3171270.0000000005,2258850.0000000005
DALWORTHINGTON GARDENS CITY,TX,2233,961260.0000000001,878010.0000000001,5664330.000000001,4447770
LAKE WORTH CITY,TX,4757,721500.0000000001,1982460.0000000002,14063700,12123420.000000002
PANTEGO TOWN,TX,2497,823620.0000000001,1023420.0000000001,5817510,5017200.000000001
WESTWORTH VILLAGE VILLAGE,TX,2632,376290,844710,6803190.000000001,6307020
BLUE MOUND CITY,TX,3263,288600,589410.0000000001,1041180.0000000001,1025640.0000000001
WEST LAKE HILLS CITY,TX,3309,351870,731490,6583410.000000001,6564540.000000001
MUSTANG RIDGE CITY,TX,1192,208680,244200.00000000003,744810.0000000001,743700
SUNSET VALLEY CITY,TX,801,83250.00000000001,0,6752130.000000001,6029520
EAST MOUNTAIN CITY,TX,1113,127650,44400.00000000001,582750,244200.00000000003
WILLS POINT CITY,TX,3538,460650.00000000006,1074480,7271610.000000001,5061600
FLORENCE TOWN,TX,957,202020,180930,1020090.0000000001,788100
DECATUR CITY,TX,6378,699300.0000000001,5040510,17051820,14247960.000000002
RUNAWAY BAY CITY,TX,1647,180930,692640.0000000001,2340990.0000000005,1712730.0000000002
SUNSET CITY,UT,5176,570540.0000000001,392940.00000000006,3921630.0000000005,3049170
LA CROSSE TOWN,VA,652,115440.00000000001,120990.00000000001,953490.0000000001,548340
WAVERLY TOWN,VA,1496,455100,414030.00000000006,1849260.0000000002,1460760.0000000002
EMPORIA CITY,VA,5565,1255410,5007210,24030390.000000004,17014080
RUSTON TOWN,WA,969,120990.00000000001,348540,2739480,2185590
FIFE CITY,WA,9645,3779550,2912640.0000000005,45115950.00000001,35882970
MILTON TOWN,WV,2571,336330.00000000006,967920.0000000001,4185810.0000000005,2965920
MOUNT HOPE CITY,WV,1184,214230.00000000003,144300,1818180,1096680
GAULEY BRIDGE TOWN,WV,753,247530.00000000003,37740,507270.00000000006,499500.00000000006
SHEPHERDSTOWN CITY,WV,1578,162060,174270,4956150.000000001,3151290.0000000005
BENWOOD CITY,WV,1385,158730.00000000003,1418580.0000000002,2790540.0000000005,2279940
WISCONSIN DELLS CITY,WI,2631,269730,6027300,22000200,11421900.000000002
EMERYVILLE CITY,CA,11111,1587300.0000000002,40058790,89009790.00000001,86183730.00000001
BEVERLY HILLS CITY,CA,34627,11102220.000000002,52639530.00000001,323215350.00000006,283785930.00000006
HERMOSA BEACH CITY,CA,19726,2952600.0000000005,13363290,35788620,34156920.00000001
SANTA MONICA CITY,CA,92247,17620140.000000004,136253610.00000003,665900100.0000001,557721720.0000001
IRWINDALE CITY,CA,1319,1285380,19643670.000000004,56820900,41424090.00000001
BELVEDERE CITY,CA,2017,258630,4015980.0000000005,6705510,6476850
SAUSALITO CITY,CA,7115,715950,8008650.000000001,19533780.000000004,19160820.000000004
CAPITOLA CITY,CA,10109,1404150,6203790.000000001,18986550.000000004,18406020
SHERIDAN CITY,CO,5965,1739370.0000000002,2470860,18677970,16474620.000000002
SIMLA TOWN,CO,649,74370,51060,497280.00000000006,314130.00000000006
MOUNTAIN VIEW TOWN,CO,522,158730.00000000003,21090.000000000004,620490,510600
ASPEN CITY,CO,6788,812520.0000000001,7280490.000000001,81757050,65065980
HAYDEN TOWN,CO,1786,239760.00000000003,82140,1444110.0000000002,923520.0000000001
BRECKENRIDGE TOWN,CO,4732,535020.0000000001,4569870.000000001,42286560.00000001,37947570
DILLON TOWN,CO,992,199800,228660.00000000003,10164270,8845590
HARRINGTON CITY,DE,3688,421800,830280.0000000001,7254960.000000001,4337880
NEWPORT TOWN,DE,1075,336330.00000000006,473970,1280940,1034520
WILMINGTON CITY,DE,71502,10528350,43305540,266699700,166587690
BETHANY BEACH TOWN,DE,871,382950.00000000006,1800420,9512700,7529130.000000001
GREENWOOD TOWN,DE,1280,333000.00000000006,134310,1285380,982350.0000000001
REHOBOTH BEACH CITY,DE,1119,149850.00000000003,1455210,17631240,13923840.000000002
WASHINGTON DC CITY,DC,659009,206204700,2084300280.0000002,13083413490,8500986060.000001
